247 & 288.9 & 2.4 \\ 
248 & 286.5 & 2.4 \\ 
249 & 284.1 & 2.4 \\ 
250 & 281.7 & 2.4 \\ 
251 & 279.3 & 2.4 \\ 
252 & 276.9 & 2.4 \\ 
253 & 274.5 & 2.4 \\ 
254 & 272.1 & 2.4 \\ 
255 & 269.7 & 2.4 \\ 
256 & 267.2 & 2.4 \\ 
257 & 264.8 & 2.4 \\ 
258 & 262.4 & 2.4 \\ 
259 & 260.0 & 2.4 \\ 
260 & 257.6 & 2.4 \\ 
261 & 255.2 & 2.4 \\ 
262 & 252.8 & 2.4 \\ 
263 & 250.4 & 2.4 \\ 
264 & 248.0 & 2.4 \\ 
265 & 245.6 & 2.4 \\ 
266 & 243.2 & 2.4 \\ 
267 & 240.8 & 2.4 \\ 
268 & 238.4 & 2.4 \\ 
269 & 236.0 & 2.4 \\ 
270 & 233.6 & 2.4 \\ 
271 & 231.2 & 2.4 \\ 
272 & 228.8 & 2.4 \\ 
273 & 226.4 & 2.4 \\ 
274 & 224.0 & 2.4 \\ 
275 & 221.6 & 2.4 \\ 
276 & 219.2 & 2.4 \\ 
277 & 216.8 & 2.4 \\ 
278 & 214.5 & 2.4 \\ 
279 & 212.1 & 2.4 \\ 
280 & 209.7 & 2.4 \\ 
281 & 207.3 & 2.4 \\ 
282 & 204.9 & 2.4 \\ 
283 & 202.5 & 2.4 \\ 
284 & 200.1 & 2.4 \\ 
