1 & 792.1 & 1.1 & & 40 & 728.8 & 1.6 & & 79 & 661.3 & 1.9 \\ 
2 & 791.0 & 1.2 & & 41 & 727.2 & 1.6 & & 80 & 659.4 & 1.9 \\ 
3 & 789.8 & 1.2 & & 42 & 725.5 & 1.6 & & 81 & 657.6 & 1.9 \\ 
4 & 788.5 & 1.3 & & 43 & 723.9 & 1.6 & & 82 & 655.7 & 1.9 \\ 
5 & 787.2 & 1.3 & & 44 & 722.3 & 1.6 & & 83 & 653.8 & 1.9 \\ 
6 & 785.9 & 1.4 & & 45 & 720.6 & 1.6 & & 84 & 652.0 & 1.9 \\ 
7 & 784.5 & 1.4 & & 46 & 719.0 & 1.6 & & 85 & 650.1 & 1.9 \\ 
8 & 783.0 & 1.5 & & 47 & 717.3 & 1.7 & & 86 & 648.2 & 1.9 \\ 
9 & 781.5 & 1.5 & & 48 & 715.7 & 1.7 & & 87 & 646.3 & 1.9 \\ 
10 & 780.0 & 1.6 & & 49 & 714.0 & 1.7 & & 88 & 644.4 & 1.9 \\ 
11 & 778.4 & 1.6 & & 50 & 712.4 & 1.7 & & 89 & 642.5 & 1.9 \\ 
12 & 776.7 & 1.7 & & 51 & 710.7 & 1.7 & & 90 & 640.6 & 1.9 \\ 
13 & 775.1 & 1.7 & & 52 & 709.0 & 1.7 & & 91 & 638.7 & 1.9 \\ 
14 & 773.4 & 1.7 & & 53 & 707.3 & 1.7 & & 92 & 636.7 & 1.9 \\ 
15 & 771.6 & 1.8 & & 54 & 705.6 & 1.7 & & 93 & 634.8 & 1.9 \\ 
16 & 769.8 & 1.8 & & 55 & 703.9 & 1.7 & & 94 & 632.9 & 1.9 \\ 
17 & 768.0 & 1.8 & & 56 & 702.2 & 1.7 & & 95 & 630.9 & 1.9 \\ 
18 & 766.2 & 1.8 & & 57 & 700.5 & 1.7 & & 96 & 629.0 & 2.0 \\ 
19 & 764.4 & 1.8 & & 58 & 698.8 & 1.7 & & 97 & 627.0 & 2.0 \\ 
20 & 762.5 & 1.8 & & 59 & 697.1 & 1.7 & & 98 & 625.1 & 2.0 \\ 
21 & 760.7 & 1.8 & & 60 & 695.3 & 1.7 & & 99 & 623.1 & 2.0 \\ 
22 & 758.8 & 1.8 & & 61 & 693.6 & 1.7 & & 100 & 621.1 & 2.0 \\ 
23 & 757.0 & 1.8 & & 62 & 691.9 & 1.7 & & 101 & 619.2 & 2.0 \\ 
24 & 755.2 & 1.8 & & 63 & 690.1 & 1.8 & & 102 & 617.2 & 2.0 \\ 
25 & 753.4 & 1.8 & & 64 & 688.4 & 1.8 & & 103 & 615.2 & 2.0 \\ 
26 & 751.6 & 1.8 & & 65 & 686.6 & 1.8 & & 104 & 613.2 & 2.0 \\ 
27 & 749.8 & 1.7 & & 66 & 684.8 & 1.8 & & 105 & 611.2 & 2.0 \\ 
28 & 748.1 & 1.7 & & 67 & 683.1 & 1.8 & & 106 & 609.2 & 2.0 \\ 
29 & 746.4 & 1.7 & & 68 & 681.3 & 1.8 & & 107 & 607.2 & 2.0 \\ 
30 & 744.8 & 1.6 & & 69 & 679.5 & 1.8 & & 108 & 605.2 & 2.0 \\ 
31 & 743.1 & 1.6 & & 70 & 677.7 & 1.8 & & 109 & 603.1 & 2.0 \\ 
32 & 741.5 & 1.6 & & 71 & 675.9 & 1.8 & & 110 & 601.1 & 2.0 \\ 
33 & 739.9 & 1.6 & & 72 & 674.1 & 1.8 & & 111 & 599.1 & 2.0 \\ 
34 & 738.3 & 1.6 & & 73 & 672.3 & 1.8 & & 112 & 597.0 & 2.0 \\ 
35 & 736.8 & 1.6 & & 74 & 670.5 & 1.8 & & 113 & 595.0 & 2.0 \\ 
36 & 735.2 & 1.6 & & 75 & 668.6 & 1.8 & & 114 & 592.9 & 2.1 \\ 
37 & 733.6 & 1.6 & & 76 & 666.8 & 1.8 & & 115 & 590.9 & 2.1 \\ 
38 & 732.0 & 1.6 & & 77 & 665.0 & 1.8 & & 116 & 588.8 & 2.1 \\ 
39 & 730.4 & 1.6 & & 78 & 663.1 & 1.8 & & 117 & 586.8 & 2.1 \\ 
